"","CourseTitle","Term","Faculty","CourseSection","Phase","Area","Campus","Meeting Pattern","Bids","Closing Cost","Seats Available","Total seats","Enrolled","Program","WaitList","OpenSeats","Class","InstructorOverall","Learning","Difficulty","Global","Examples","Workload","Total Responses","Number of enrollees","year","quarter","phase","course","credit","eff"
"1","New Venture Discovery","Summer 2016","Wrigley, Desiree","KIEI-462-0 (76)","Summer 2016 Bidding Phase II","KIEI","Chicago","Sat 1:30 PM - 4:30 PM",19,3000,3,32,3,"Weekend",16,0,3.4,3.5,4.2,4.1,3,4,3,17,32,2016,"Summer","II","KIEI-462",1,882.352941176471
"2","Corporate Innovation and New Ventures","Spring 2017","DeBiase, Dean","KIEI-903-0 (30)","Spring 2017 Bidding Phase I","KIEI","Chicago","Mon 6:00 PM - 9:00 PM",3,2500,2,2,2,"Weekend",1,0,5.2,4.8,5.1,5.3,5,5.5,3.6,22,27,2017,"Spring","I","KIEI-903",1,480.769230769231
"3","Corporate Innovation and New Ventures","Spring 2017","Earle, Jr., Paul","KIEI-903-0 (30)","Spring 2017 Bidding Phase I","KIEI","Chicago","Mon 6:00 PM - 9:00 PM",3,2500,2,2,2,"Weekend",1,0,5.4,5.1,5.1,5.3,5,5.4,3.6,22,27,2017,"Spring","I","KIEI-903",1,462.962962962963
"4","Managing in Professonal Service Firms","Fall 2016","Bette, Gerhard","MORS-934-0 (81)","Fall 2016 Bidding Phase II","MORS","Evanston","Mon 6:30 PM - 9:30 PM",5,2424,2,5,2,"Evening",3,0,4.3,3.7,4.5,4.3,4.4,4.7,2.6,27,29,2016,"Fall","II","MORS-934",1,563.720930232558
"5","Managing in Professonal Service Firms","Fall 2016","Ziegler, Elizabeth","MORS-934-0 (81)","Fall 2016 Bidding Phase II","MORS","Evanston","Mon 6:30 PM - 9:30 PM",5,2424,2,5,2,"Evening",3,0,4.8,5.3,5,5,4.6,5.1,2.6,27,29,2016,"Fall","II","MORS-934",1,505
"6","Negotiations Fundamentals","Spring 2018","Stephens, Nicole","MORS-472-5 (63)","Spring 2018 Bidding Phase II","MORS","Evanston","Tue 1:30 PM - 4:30 PM",68,2260,1,36,1,"Full-Time",67,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,"Spring","II","MORS-472",0.5,NA
"7","Personal Leadership Insights","Spring 2018","Carroll, Shana","KACI-461-5 (60)","Spring 2018 Bidding Phase II","KACI","Evanston","Thu 10:30 AM - 12:00 PM",39,2218,1,12,1,"Full-Time",38,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,"Spring","II","KACI-461",0.5,NA
"8","Negotiations Fundamentals","Spring 2018","Finkel, Eli","MORS-472-5 (80)","Spring 2018 Bidding Phase I","MORS","Evanston","Fri 1:30 PM - 4:30 PM",6,2101,2,2,2,"Evening",4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,"Spring","I","MORS-472",0.5,NA
"9","Global Initiatives in Management (GIM)","Winter 2018","Seitz, Tasha","INTL-473-0 (84)","Winter 2018 Bidding Phase I","INTL","Evanston","Non-Standard Meetings",20,2101,5,5,5,"Evening",15,0,4.6,3.8,4.1,3.8,5.8,4.9,2.6,21,32,2018,"Winter","I","INTL-473",1,456.739130434783
"10","Visualization for Persuasion","Spring 2017","Franconeri, Steven","KACI-925-5 (80)","Spring 2017 Bidding Phase I","KACI","Evanston","Fri 1:30 PM - 4:30 PM",8,2000,3,3,3,"Weekend",5,0,5.5,5.8,5.7,5.4,4.7,5.1,3.3,51,63,2017,"Spring","I","KACI-925",0.5,363.636363636364
