"","course","CourseTitle","discipline","credit","N"
"1","MORS-472","Negotiations Fundamentals","MORS",0.5,100
"2","KACI-461","Personal Leadership Insights","KACI",0.5,88
"3","FINC-442","Financial Decisions","FINC",1,87
"4","FINC-431","Finance II","FINC",1,79
"5","INTL-473","Global Initiatives in Management (GIM)","INTL",1,78
"6","OPNS-430","Operations Management","OPNS",1,75
"7","KIEI-462","New Venture Discovery","KIEI",1,73
"8","MKTG-450","Marketing Research and Analytics","MKTG",1,73
"9","MKTG-466","Marketing Strategy","MKTG",1,71
"10","STRT-452","Strategy and Organization","STRT",1,63
"11","FINC-430","Finance I","FINC",1,54
"12","MECN-430","Microeconomic Analysis","MECN",1,54
"13","MKTG-454","Advertising Strategy","MKTG",1,52
"14","KPPI-460","Values Based Leadership","KPPI",1,51
"15","MKTG-430","Marketing Management","MKTG",1,51
"16","KPPI-441","Strategy Beyond Markets","KPPI",1,48
"17","FINC-445","Entrepreneurial Finance and Venture Capital","FINC",1,45
"18","KPPI-440","Leadership and Crisis Management","KPPI",0.5,45
"19","KIEI-903","Corporate Innovation and New Ventures","KIEI",1,44
"20","MECN-441","Competitive Strategy and Industrial Structure","MECN",1,43
"21","MORS-460","Leading and Managing Teams","MORS",1,43
"22","BLAW-435","Business Law","BLAW",1,42
"23","MORS-462","Leading and Managing Diverse Organizations","MORS",0.5,42
"24","ACCT-451","Financial Reporting and Analysis","ACCT",1,41
"25","FINC-470","International Finance","FINC",1,40
"26","KACI-450","Persuasive Presentations","KACI",1,39
"27","MKTG-462","Retail Analytics","MKTG",1,39
"28","FINC-940","Financial Modeling for Leveraged Buyout Transactions","FINC",0.5,37
"29","STRT-431","Business Strategy","STRT",1,37
"30","STRT-466","Strategic Challenges in Emerging Markets","STRT",1,36
"31","FINC-454","Real Estate Finance and Investments","FINC",1,34
"32","ACCT-430","Accounting For Decision Making","ACCT",1,33
"33","ACCT-431","Managerial Accounting","ACCT",1,33
"34","FINC-950","Capital Markets","FINC",1,33
"35","MKTG-465","Launching New Products and Services","MKTG",1,32
"36","OPNS-450","Analytical Decision Modeling","OPNS",1,31
