"","Faculty","N"
"1","Unknown",62
"2","Finn, Mark",59
"3","Markovich, Sarit",53
"4","Pearce, Nicholas",45
"5","Stowell, David",43
"6","Liberti, Jose Maria",41
"7","McCareins, Mark",40
"8","Van Camp, Karen",40
"9","Calkins, Timothy",39
"10","Conley, James",39
"11","Chopra, Navin",38
"12","Ocasio, William",37
"13","Saraiya, Chirag",37
"14","Baker, Scott",36
"15","Maoz, Eyal",36
"16","Saraniti, Brett",34
"17","Kouchaki, Maryam",33
"18","Mazzeo, Michael",33
"19","Benmelech, Efraim",32
"20","Cohen, Jeffrey",32
"21","Dwyer, Joe",31
"22","Ellington Booth, Brenda",30
"23","Minor, Dylan",30
"24","Braun, Phillip",29
"25","Cutler, Jennifer",29
"26","Hughes, Edward",29
"27","Schonthal, David",29
"28","Corona, Paul",28
"29","Dale, Donald",28
"30","Eng, Brian",28
"31","Furfine, Craig",28
"32","Krishnamurthi, Lakshman",28
"33","Hirsch, Paul",27
"34","Shein, James",27
"35","Rebelo, Sergio",26
"36","Waytz, Adam",26
"37","Hennessy, Julie",25
"38","Al-Najjar, Nabil",24
"39","Shapiro, Joel",24
"40","Besanko, David",23
"41","Finkel, Eli",23
"42","Pah, Adam",23
"43","Wortmann, Craig",23
"44","Anderson, Eric",22
"45","DeBiase, Dean",22
"46","Earle, Jr., Paul",22
"47","Feddersen, Timothy",22
"48","Lyle, Matthew",22
"49","Nathanson, Charles",22
"50","Pearlman, Mary",22
"51","Roese, Neal",22
"52","Sawhney, Mohanbir",22
"53","Seitz, Tasha",22
"54","Stephens, Nicole",22
"55","Thompson, Leigh",22
"56","Bradley, Craig",21
"57","Maimaran, Michal",21
"58","Matouschek, Niko",21
"59","Raviv, Artur",21
"60","Crouzet, Nicolas",20
"61","Dew-Becker, Ian",20
"62","Howard, Liz",20
"63","Patel, Homi",20
"64","Vehovsky, Gabe",20
"65","Kraemer, Harry",19
"66","Marshall, David",19
"67","Matsa, David",19
"68","Persico, Nicola",19
"69","Touré-Tillery, Rima",19
"70","Wang, Clare",19
"71","Arnold, Katie",18
"72","Austen-Smith, David",18
"73","Blount, Sally",18
"74","Carpenter, Gregory",18
"75","Lansberg-Rodriguez, Daniel",18
"76","Morjaria, Ameet",18
"77","Spenkuch, Jorg",18
"78","Calder, Bobby",17
"79","Franconeri, Steven",17
"80","Jagannathan, Ravi",17
"81","Sternthal, Brian",17
"82","Bray, Robert",16
"83","Cocagne, David",16
"84","Farver, Jennifer",16
"85","Islegen, Ozge",16
"86","Johnson, Sean",16
"87","Mattoon, Richard",16
"88","Rivelli, Timothy",16
"89","Vincent, Linda",16
"90","Weber, Robert",16
"91","Carroll, Shana",15
"92","Chernev, Alexander",15
"93","Dranove, David",15
"94","Georgiadis, Georgios",15
"95","Gordon, Brett",15
"96","Melzer, Brian",15
"97","Bassamboo, Achal",14
"98","Bennett, William",14
"99","Bette, Gerhard",14
"100","Bockenholt, Ulf",14
"101","Jones, Benjamin",14
"102","Kolsky, Richard",14
"103","Levy, Philip",14
"104","Li, Jin",14
"105","McTigue, Kevin",14
"106","Petersen, Mitchell",14
"107","Salant, Yuval",14
"108","Skiadas, Constantinos",14
"109","Spulber, Daniel",14
"110","Walker, Russell",14
"111","Ziskind, Andrew",14
